GROUP,COMPANY,DONATION,YTD,DATE,YEAR
RSLC,1-800 CONTACTS INC.,25000,25000,1/16/2018,2018
RSLC,1-800 CONTACTS INC.,398,26665,7/30/2018,2018
RSLC,1-800 CONTACTS INC.,698,26665,7/30/2018,2018
RSLC,1-800 CONTACTS INC.,558,25558,3/29/2019,2019
RSLC,1-800 CONTACTS INC.,25000,25558,2/11/2019,2019
RSLC,1-800 CONTACTS INC.,5000,31252,10/18/2019,2019
RSLC,1-800 CONTACTS INC.,299,31252,9/24/2019,2019
RSLC,1-800 CONTACTS INC.,395,31252,7/29/2019,2019
RSLC,1-800 CONTACTS INC.,25000,25000,4/22/2020,2020
RSLC,1-800 CONTACTS INC.,10000,35000,9/9/2020,2020
RSLC,1-800 CONTACTS INC.,25000,25000,3/15/2021,2021
RSLC,1-800 CONTACTS INC.,25000,25000,1/26/2022,2022
RAGA,1-800 CONTACTS INC.,350,25350,1/31/2018,2018
RAGA,1-800 CONTACTS INC.,25000,25350,1/13/2018,2018
RAGA,1-800 CONTACTS INC.,875,41225,5/16/2018,2018
RAGA,1-800 CONTACTS INC.,500,26725,7/18/2018,2018
RAGA,1-800 CONTACTS INC.,500,41725,7/18/2018,2018
RAGA,1-800 CONTACTS INC.,900,27125,5/23/2019,2019
RAGA,1-800 CONTACTS INC.,25000,27125,1/23/2019,2019
RAGA,1-800 CONTACTS INC.,525,27125,6/20/2019,2019
RAGA,1-800 CONTACTS INC.,350,27125,1/24/2019,2019
RAGA,1-800 CONTACTS INC.,350,27125,1/31/2019,2019
RAGA,1-800 CONTACTS INC.,425,27150,9/30/2019,2019
RAGA,1-800 CONTACTS INC.,125,27150,9/30/2019,2019
RAGA,1-800 CONTACTS INC.,50000,50350,1/31/2020,2020
RAGA,1-800 CONTACTS INC.,350,50350,1/8/2020,2020
RAGA,1-800 CONTACTS INC.,375,51415,7/18/2020,2020
RAGA,1-800 CONTACTS INC.,315,51415,8/14/2020,2020
RAGA,1-800 CONTACTS INC.,375,51415,7/6/2020,2020
RAGA,1-800 CONTACTS INC.,265,50615,2/2/2021,2021
RAGA,1-800 CONTACTS INC.,350,50615,2/1/2021,2021
RAGA,1-800 CONTACTS INC.,50000,50615,3/15/2021,2021
RAGA,1-800 CONTACTS INC.,10000,61675,10/6/2021,2021
RAGA,1-800 CONTACTS INC.,220,61675,9/13/2021,2021
RAGA,1-800 CONTACTS INC.,840,61675,9/2/2021,2021
RAGA,1-800 CONTACTS INC.,50000,50000,2/15/2022,2022
RAGA,1-800 CONTACTS INC.,10000,60310,7/6/2022,2022
RAGA,1-800 CONTACTS INC.,310,60310,8/11/2022,2022
RSLC,1-800 CONTACTS INC.,569,25569,4/30/2018,2018
RAGA,1-800 CONTACTS INC.,800,52215,10/8/2020,2020
RGA,21ST CENTURY FOX,50000,100000,4/13/2018,2018
RGA,21ST CENTURY FOX,50000,100000,6/15/2018,2018
RGA,21ST CENTURY FOX,450,100450,10/3/2018,2018
RGA,21ST CENTURY FOX,100000,100000,11/5/2021,2021
