COMPANY,Parent Company,Subsidiaries & Products,To Candidates,To PACs,TOTAL
ANTHEM INC,Elevance Health,"Anthem Blue Cross and Blue Shield Affiliated Health Plans, Wellpoint, Carelon, Amerigroup, UniCare","$352,500","$3,861,148","$4,213,648"
UNITEDHEALTH GROUP,,,"$923,600","$3,159,993","$4,083,593"
COMCAST CORPORATION,,"Xfinity, E!, Bravo, USA Network, Syfy, NBC, Oxygen, Telemundo, Fandango, Vudu, RottenTomatoes, Peacock, CNBC, MSNBC, Universal, Universal Studios Parks, Illimunation, DreamWorks, Focus Features","$996,800","$2,734,059","$3,730,859"
AT&T,,"DirecTV, Cricket Wireless","$1,731,471","$1,983,184","$3,714,655"
PFIZER INC,,,"$401,950","$3,067,708","$3,469,658"
WALMART,,"Walmart, Sam's Club, Jet.com, ","$606,800","$2,094,418","$2,701,218"
GENERAL MOTORS,,"Chevrolet, GMC, Cadillac, OnStar, Buick ","$331,100","$1,758,196","$2,089,296"
COCA-COLA NORTH AMERICA,,"AHA, Barq's, Coca-Cola, Dasani, Diet Coke, Fairlife, Fanta, Fresca, GoldPeak Tea, MinuteMaid, Powerade, Smartwater, Sprite, TopoChico, VitaminWater","$35,768","$1,641,137","$1,676,905"
ASTRAZENECA,,,"$97,900","$1,555,958","$1,653,858"
ELI LILLY AND COMPANY,,,"$283,550","$1,275,053","$1,558,603"
AMAZON.COM,,"IMDB, Audible, Zappos, GoodReads, Whole Foods, Ring, iRobot, ","$254,900","$1,248,649","$1,503,549"
ANHEUSER BUSCH,InBev,"Budweiser, Bud Light, Michelob ULTRA, Stella Artois, Busch Beer, Natural Light, Ritas (e.g. Lime-a-rita), etc.","$365,549","$973,172","$1,338,721"
INTUIT,,"CreditKarma, Mint, MailChimp, QuickBooks, TurboTax","$2,750","$1,290,915","$1,293,665"
CIGNA CORPORATION,,,"$344,300","$939,400","$1,283,700"
TRAVELERS INDEMNITY COMPANY,,,"$166,500","$1,050,000","$1,216,500"
BLUECROSS BLUESHIELD ASSOCIATION,,"Blue Cross and Blue Shield of Alabama, Blue Shield of California, Blue Cross Blue Shield of Florida (includes Puerto Rico and the US Virgin Islands, branded as ""Triple-S Management""), Blue Cross and Blue Shield of Kansas City, Blue Cross Blue Shield of Massachusetts, Blue Cross Blue Shield of Michigan, Blue Cross Blue Shield of North Dakota, Blue Cross Blue Shield of South Carolina, BlueCross BlueShield of Tennessee, Capital Blue Cross (Central Pennsylvania), Capital Health Plan (Big Bend region of Florida), Florida Health Care Plans, Hawaii Medical Service Association, Horizon Blue Cross Blue Shield of New Jersey, Independence Blue Cross (Philadelphia, Southeastern Pennsylvania)","$439,090","$732,318","$1,171,408"
JUUL LABS,,,"$124,250","$949,675","$1,073,925"
FARMERS GROUP INC.,,,"$546,352","$477,719","$1,024,071"
AETNA INC,CVS Health,,"$13,159","$960,764","$973,923"
K12 INC.,,,"$134,250","$823,904","$958,154"
MOTOROLA SOLUTIONS,,,"$153,600","$804,013","$957,613"
HUMANA,,,"$232,129","$694,300","$926,429"
THE ANSCHUTZ CORPORATION,,"Coachella, Stagecoach, Golden Voice, AXS Ticketing",$0,"$925,000","$925,000"
WALGREENS,,"Walgreens, Boots, Duane Reade, the No7 Beauty Company","$144,700","$770,885","$915,585"
HOME DEPOT,,,"$279,060","$631,526","$910,586"
ENTERPRISE HOLDINGS,,"Enterprise, National, Alamo","$327,600","$543,500","$871,100"
MICROSOFT,,"Github, LinkedIn, GroupMe, Skype, Xbox, Outlook, Minecraft","$60,460","$799,547","$860,007"
WELLS FARGO AND COMPANY,,,"$163,400","$686,582","$849,982"
CVS PHARMACY INC,,"CVS Caremark, Aetna","$318,950","$516,632","$835,582"
T-MOBILE USA INC,,"Metro, Mint Mobile","$103,525","$697,750","$801,275"
AFLAC INC,,,"$59,300","$721,917","$781,217"
GOOGLE INC.,,"Android, Youtube, Waze, Tenor, Fitbit, Nest",$0,"$779,132","$779,132"
