Company,Amount,State,Position
1-800 CONTACTS INC.,"$1,000",FL,Legislature
1-800 CONTACTS INC.,"$27,100",GA,Legislature
1-800 CONTACTS INC.,"$10,000",GA,Governor
1-800 CONTACTS INC.,"$9,800",UT,Legislature
1-800 CONTACTS INC.,$750,UT,Legislature
1-800 CONTACTS INC.,$750,UT,Legislature
1-800 CONTACTS INC.,"$5,000",UT,Governor
AETNA INC,"$2,250",KS,Legislature
AETNA INC,"$2,000",MO,Governor
AETNA INC,"$5,000",TN,Governor
AETNA INC,"$3,909",TX,Legislature
AFLAC INC,"$7,000",FL,Legislature
AFLAC INC,"$7,700",GA,Legislature
AFLAC INC,"$14,600",GA,Governor
AFLAC INC,"$2,500",ID,Governor
AFLAC INC,"$3,000",NE,Legislature
AFLAC INC,"$20,000",NE,Governor
AFLAC INC,"$2,500",TN,Governor
AFLAC INC,"$2,000",TX,Legislature
AMERICAN EXPRESS,"$1,000",FL,Legislature
AMERICAN EXPRESS,"$1,750",UT,Legislature
AMERICAN EXPRESS,"$5,000",UT,Governor
AIRBNB,"$2,000",TN,Legislature
ALLSTATE INSURANCE COMPANY,"$28,500",FL,Legislature
ALLSTATE INSURANCE COMPANY,"$24,000",GA,Legislature
ALLSTATE INSURANCE COMPANY,"$1,750",IA,Legislature
ALLSTATE INSURANCE COMPANY,"$9,250",ID,Legislature
ALLSTATE INSURANCE COMPANY,"$1,000",ID,Governor
ALLSTATE INSURANCE COMPANY,"$4,750",IN,Legislature
ALLSTATE INSURANCE COMPANY,"$1,500",IN,Governor
ALLSTATE INSURANCE COMPANY,"$6,350",KS,Legislature
ALLSTATE INSURANCE COMPANY,"$1,050",KS,Legislature
ALLSTATE INSURANCE COMPANY,"$11,000",KY,Legislature
ALLSTATE INSURANCE COMPANY,"$2,500",NE,Governor
ALLSTATE INSURANCE COMPANY,"$5,400",OK,Legislature
ALLSTATE INSURANCE COMPANY,"$1,200",SD,Legislature
ALLSTATE INSURANCE COMPANY,"$1,000",SD,Governor
ALLSTATE INSURANCE COMPANY,"$5,750",TN,Legislature
ALLSTATE INSURANCE COMPANY,"$26,000",TX,Legislature
ALLSTATE INSURANCE COMPANY,"$39,500",TX,Governor
ALLSTATE INSURANCE COMPANY,"$27,500",UT,Legislature
ALLSTATE INSURANCE COMPANY,"$1,000",UT,Legislature
ALLSTATE INSURANCE COMPANY,"$1,000",UT,Legislature
ALLSTATE INSURANCE COMPANY,"$1,000",UT,Legislature
ALLSTATE INSURANCE COMPANY,$500,UT,Legislature
ALLSTATE INSURANCE COMPANY,"$1,500",WV,Legislature
ALLSTATE INSURANCE COMPANY,"$2,450",WY,Legislature
ALLSTATE INSURANCE COMPANY,"$1,500",WY,Governor
AMAZON.COM,"$1,000",IN,Governor
AMAZON.COM,"$228,500",TN,Legislature
AMAZON.COM,"$25,400",TN,Governor
AMERICAN AIRLINES INC,"$10,000",FL,Legislature
AMERICAN AIRLINES INC,"$2,500",OK,Governor
AMERICAN AIRLINES INC,"$6,000",TX,Legislature
ANHEUSER BUSCH,"$1,000",TX,Legislature
ANHEUSER BUSCH,"$3,481",FL,Legislature
ANHEUSER BUSCH,"$75,000",FL,Governor
ANHEUSER BUSCH,"$17,750",GA,Legislature
ANHEUSER BUSCH,"$19,100",GA,Governor
ANHEUSER BUSCH,"$27,600",ID,Legislature
ANHEUSER BUSCH,"$10,000",ID,Governor
ANHEUSER BUSCH,"$62,500",IN,Legislature
ANHEUSER BUSCH,"$5,000",IN,Governor
ANHEUSER BUSCH,"$15,500",KS,Legislature
ANHEUSER BUSCH,"$9,000",KS,Legislature
ANHEUSER BUSCH,"$50,150",MS,Legislature
ANHEUSER BUSCH,"$3,000",MS,Governor
ANHEUSER BUSCH,"$7,050",NE,Legislature
ANHEUSER BUSCH,"$7,500",NE,Governor
ANHEUSER BUSCH,"$4,500",TN,Legislature
ANHEUSER BUSCH,"$36,418",TX,Legislature
ANHEUSER BUSCH,"$10,000",TX,Governor
ANHEUSER BUSCH,"$1,000",UT,Legislature
ANTHEM INC,"$2,000",TX,Legislature
ANTHEM INC,"$11,000",AR,Legislature
ANTHEM INC,"$2,800",AR,Governor
ANTHEM INC,"$15,300",GA,Legislature
ANTHEM INC,"$40,000",GA,Governor
ANTHEM INC,"$12,000",IA,Legislature
ANTHEM INC,"$5,000",IA,Governor
ANTHEM INC,"$47,900",IN,Legislature
ANTHEM INC,"$38,000",IN,Governor
ANTHEM INC,"$7,750",KY,Legislature
ANTHEM INC,"$1,000",MS,Legislature
ANTHEM INC,"$1,000",MS,Governor
ANTHEM INC,"$4,500",NE,Legislature
ANTHEM INC,"$1,000",OK,Legislature
ANTHEM INC,"$59,500",TX,Legislature
ANTHEM INC,"$45,000",TX,Governor
ANTHEM INC,"$8,750",WV,Legislature
ANTHEM INC,"$50,000",TX,Governor
ASTRAZENECA,"$19,500",FL,Legislature
ASTRAZENECA,"$22,900",GA,Legislature
ASTRAZENECA,"$12,000",GA,Governor
ASTRAZENECA,"$3,500",IN,Governor
ASTRAZENECA,"$4,500",MS,Legislature
ASTRAZENECA,"$1,000",MS,Governor
ASTRAZENECA,"$29,000",TX,Legislature
ASTRAZENECA,"$5,000",TX,Governor
ASTRAZENECA,$500,UT,Legislature
AT&T,"$2,500",TX,Legislature
AT&T,"$36,600",AR,Legislature
AT&T,$250,AR,Legislature
AT&T,"$5,800",AR,Governor
AT&T,"$63,000",FL,Legislature
AT&T,"$80,000",FL,Governor
AT&T,"$194,900",GA,Legislature
AT&T,"$3,000",GA,Legislature
AT&T,"$2,000",GA,Legislature
